Date,Open,High,Low,Close,Volume,Return,CumulativeReturn
25-01-01,1364.300049,1367.349976,1354.630005,1357.51001,1258000000,-0.004976939644,-0.06714446128
26-01-01,1357.51001,1357.51001,1342.75,1354.949951,1098000000,-0.001885849077,-0.06890368604
29-01-01,1354.920044,1365.540039,1350.359985,1364.170044,1053100000,0.006804748023,-0.06256781024
30-01-01,1364.170044,1375.680054,1356.199951,1373.72998,1149800000,0.007007877091,-0.05599840067
31-01-01,1373.72998,1383.369995,1364.660034,1366.01001,1295300000,-0.005619714291,-0.06130341995
2-1-01,1366.01001,1373.5,1359.339966,1373.469971,1118800000,0.005461132016,-0.056177074
2-2-01,1373.469971,1376.380005,1348.719971,1349.469971,1048400000,-0.01747398961,-0.072669426
2-5-01,1349.469971,1354.560059,1344.47998,1354.310059,1013000000,0.003586658543,-0.06934340788
2-6-01,1354.310059,1363.550049,1350.040039,1352.26001,1059600000,-0.001513722051,-0.07075216328
2-7-01,1352.26001,1352.26001,1334.26001,1340.890015,1158300000,-0.008408142603,-0.07856541161
2-8-01,1341.099976,1350.319946,1332.420044,1332.530029,1107200000,-0.006234654525,-0.08431023793
