TRADE_DATE,OPEN,LAST,HIGH,LOW,HIGHLOW_TICKS,VOLUME,AVGVOL30D,EQY_BETA
20180419,242.00,244.50,244.50,241.00,7,33230989,29178066,1.2810
20180420,228.00,229.00,231.50,228.00,7,129890087,32494695,1.3000
20180423,226.50,226.50,227.50,225.00,5,71901975,34203237,1.3000
20180424,225.00,227.00,227.50,225.00,5,45206890,34947231,1.2920
20180425,225.50,225.00,226.00,224.00,4,48975110,35743048,1.2920
20180426,225.00,222.00,225.50,221.00,9,48176657,36206774,1.2920
20180427,225.00,223.50,225.50,221.00,9,34443459,36546394,1.2890
20180430,224.50,227.00,228.00,222.50,11,28500789,36546394,1.2890
20180502,227.00,223.00,227.50,222.50,10,38436942,36031458,1.3090
20180503,221.00,220.50,222.50,220.00,5,33507731,36400357,1.3090
20180504,221.00,223.00,224.00,220.50,7,28477722,36605109,1.3090
20180507,225.00,223.50,225.50,221.50,8,23751759,36297577,1.3090
20180508,224.00,228.00,228.50,223.50,10,40324763,36741712,1.3050
20180509,228.50,229.50,232.00,228.50,7,35597933,36162496,1.3050
20180510,231.00,229.50,231.50,229.00,5,27530377,35763911,1.3050
20180511,232.00,233.00,234.00,230.50,7,30693910,35750366,1.3040
20180514,234.50,233.00,234.50,232.50,4,23577637,35538807,1.3040
20180515,233.50,230.50,234.00,229.50,9,23771769,35116954,1.3010
20180516,229.50,230.50,230.50,228.50,4,14834106,35044879,1.3010
20180517,231.00,226.50,231.50,226.50,10,27702737,35848174,1.3010
20180518,225.50,223.50,227.50,223.50,8,28187540,36153458,1.3060
20180521,225.00,229.00,230.00,225.00,10,16417815,35506921,1.3060
20180522,230.00,229.00,233.50,229.00,9,22422097,35072130,1.3120
20180523,231.50,228.50,231.50,228.50,6,26737899,35868496,1.3120
20180524,229.50,229.00,230.00,228.50,3,13450610,35590919,1.3120
20180525,228.50,228.50,229.50,228.00,3,16486293,35457907,1.3130
20180528,229.50,227.00,230.00,226.50,7,17673270,35382131,1.3130
20180529,226.50,225.00,226.50,223.50,6,25770777,35520873,1.3130
20180530,224.00,221.00,224.00,220.50,7,49667788,35751253,1.3130
20180531,221.50,224.00,224.00,220.50,7,96587458,37478566,1.3130
20180601,224.50,224.00,226.50,224.00,5,36652094,37592603,1.3140
20180604,227.50,229.00,229.00,227.00,4,31257481,34304850,1.3140
20180605,230.00,229.00,230.00,226.50,7,27714384,32831930,1.3100
20180606,229.00,230.00,230.00,227.00,6,30375448,32337548,1.3100
20180607,231.00,230.00,231.50,228.00,7,25277266,31547620,1.3100
20180608,229.00,227.00,229.00,226.00,6,24192851,30748160,1.3040
20180611,226.50,226.00,227.00,225.00,4,22028933,30334343,1.3040
20180612,225.00,229.00,229.00,224.00,10,30189360,30390628,1.3090
20180613,229.00,232.00,232.00,228.00,8,36081120,30312101,1.3090
20180614,230.00,226.50,230.00,226.50,7,36932043,30426245,1.3090
20180615,225.00,231.00,231.00,224.00,14,49506680,31127210,1.3030
20180619,225.50,225.00,226.00,224.00,4,61142624,32373572,1.3000
20180620,224.50,226.00,227.50,223.50,8,40708701,32386370,1.3000
20180621,227.50,226.50,228.00,226.00,4,32572707,32386370,1.3000
20180622,224.50,227.50,227.50,224.00,7,44211409,32841563,1.2950
20180625,220.00,218.00,220.50,218.00,5,49058210,33453707,1.2950
20180626,215.50,214.50,216.00,212.50,7,43080346,33453707,1.2950
20180627,216.00,213.00,216.00,212.50,7,40863414,34673519,1.2950
